email,is_google,ee_account_id,is_active
simone.sharp@maildoso.com,TRUE,simone_sharp_maildoso_com,TRUE
sonya.stone@maildoso.com,TRUE,sonya_stone_maildoso_com,TRUE
spencer.spence@maildoso.com,TRUE,spencer_spence_maildoso_com,TRUE
stacey.stafford@maildoso.com,TRUE,stacey_stafford_maildoso_com,TRUE
silas.snyder@maildoso.com,TRUE,silas_snyder_maildoso_com,TRUE
samuel.smith@backlinkswappers.com,TRUE,samuel_smith_backlinkswappers_com,TRUE
sandra.sanders@backlinkswappers.com,TRUE,sandra_sanders_backlinkswappers_com,TRUE
jack@whogrowth.work,TRUE,jack_whogrowth_work,TRUE
alice@thanlead.work,TRUE,alice_thanlead_work,TRUE
alice@juststrategy.work,TRUE,alice_juststrategy_work,TRUE
matt@newgrowth.work,TRUE,matt_newgrowth_work,TRUE
jack@newgrowth.work,TRUE,jack_newgrowth_work,TRUE
nadia@wellbrand.work,TRUE,nadia_wellbrand_work,TRUE
melissa@whogrowth.work,TRUE,melissa_whogrowth_work,TRUE
jack@juststrategy.work,TRUE,jack_juststrategy_work,TRUE
melissa@byreach.work,TRUE,melissa_byreach_work,TRUE
matt@getbuzz.work,TRUE,matt_getbuzz_work,TRUE
matt@backsales.work,TRUE,matt_backsales_work,TRUE
nadia@howdigital.work,TRUE,nadia_howdigital_work,TRUE
matt@workreach.work,TRUE,matt_workreach_work,TRUE
matt@upsuccess.work,TRUE,matt_upsuccess_work,TRUE
jack@ifsales.work,TRUE,jack_ifsales_work,TRUE
melissa@giveengage.work,TRUE,melissa_giveengage_work,TRUE
melissa@ifsales.work,TRUE,melissa_ifsales_work,TRUE
alice@ifsales.work,TRUE,alice_ifsales_work,TRUE
matt@incampaign.work,TRUE,matt_incampaign_work,TRUE
melissa@becausestrategy.work,TRUE,melissa_becausestrategy_work,TRUE
jack@byreach.work,TRUE,jack_byreach_work,TRUE
alice@becausestrategy.work,TRUE,alice_becausestrategy_work,TRUE
nadia@intodigital.work,TRUE,nadia_intodigital_work,TRUE
nadia@intogrowth.work,TRUE,nadia_intogrowth_work,TRUE
sofia.shepherd@maildoso.com,TRUE,sofia_shepherd_maildoso_com,TRUE
solomon.sutton@maildoso.com,TRUE,solomon_sutton_maildoso_com,TRUE
nadia.s@betarget.work,TRUE,nadia_s_betarget_work,TRUE
stanley.strickland@sparkgent.com,TRUE,stanley_strickland_sparkgent_com,TRUE
stella.sawyer@sparkgent.com,TRUE,stella_sawyer_sparkgent_com,TRUE
stephen.steele@sparkgent.com,TRUE,stephen_steele_sparkgent_com,TRUE
nadias@betarget.work,TRUE,nadias_betarget_work,TRUE
nadia.s@canstrategy.work,TRUE,nadia_s_canstrategy_work,TRUE
nadias@canstrategy.work,TRUE,nadias_canstrategy_work,TRUE
alice@whogrowth.work,TRUE,alice_whogrowth_work,TRUE
stefan@maildoso.com,TRUE,7c46y7bsl7zktyrc,TRUE
stavros@maildoso.com,TRUE,b6j3av2afanguln8,TRUE
nadia@wouldaction.work,TRUE,nadia_wouldaction_work,TRUE
alice@takemarket.work,TRUE,alice_takemarket_work,TRUE
matt@whogrowth.work,TRUE,matt_whogrowth_work,TRUE
alice@getbuzz.work,TRUE,alice_getbuzz_work,TRUE
alice@giveengage.work,TRUE,alice_giveengage_work,TRUE
alice@backsales.work,TRUE,alice_backsales_work,TRUE
alice@byreach.work,TRUE,alice_byreach_work,TRUE
jack@workreach.work,TRUE,jack_workreach_work,TRUE
melissa@workreach.work,TRUE,melissa_workreach_work,TRUE
alice@workreach.work,TRUE,alice_workreach_work,TRUE
matt@usbrand.work,TRUE,matt_usbrand_work,TRUE
jack@usbrand.work,TRUE,jack_usbrand_work,TRUE
melissa@usbrand.work,TRUE,melissa_usbrand_work,TRUE
alice@usbrand.work,TRUE,alice_usbrand_work,TRUE
matt@wellsuccess.work,TRUE,matt_wellsuccess_work,TRUE
jack@wellsuccess.work,TRUE,jack_wellsuccess_work,TRUE
melissa@wellsuccess.work,TRUE,melissa_wellsuccess_work,TRUE
alice@wellsuccess.work,TRUE,alice_wellsuccess_work,TRUE
matt@whenstrategy.work,TRUE,matt_whenstrategy_work,TRUE
jack@whenstrategy.work,TRUE,jack_whenstrategy_work,TRUE
melissa@whenstrategy.work,TRUE,melissa_whenstrategy_work,TRUE
alice@whenstrategy.work,TRUE,alice_whenstrategy_work,TRUE
alice@upsuccess.work,TRUE,alice_upsuccess_work,TRUE
matt@thatdigital.work,TRUE,matt_thatdigital_work,TRUE
jack@thatdigital.work,TRUE,jack_thatdigital_work,TRUE
melissa@thatdigital.work,TRUE,melissa_thatdigital_work,TRUE
alice@thatdigital.work,TRUE,alice_thatdigital_work,TRUE
jack@upsuccess.work,TRUE,jack_upsuccess_work,TRUE
melissa@upsuccess.work,TRUE,melissa_upsuccess_work,TRUE
jack@thanlead.work,TRUE,jack_thanlead_work,TRUE
melissa@thanlead.work,TRUE,melissa_thanlead_work,TRUE
matt@thanlead.work,TRUE,matt_thanlead_work,TRUE
melissa@sheaction.work,TRUE,melissa_sheaction_work,TRUE
sasha.silva@sparkgent.com,TRUE,sasha_silva_sparkgent_com,TRUE
scott.scott@backlinkswappers.com,TRUE,scott_scott_backlinkswappers_com,TRUE
selena.stevens@backlinkswappers.com,TRUE,selena_stevens_backlinkswappers_com,TRUE
sidney.snow@sparkgent.com,TRUE,sidney_snow_sparkgent_com,TRUE
alice@sheaction.work,TRUE,alice_sheaction_work,TRUE
matt@takemarket.work,TRUE,matt_takemarket_work,TRUE
jack@takemarket.work,TRUE,jack_takemarket_work,TRUE
melissa@takemarket.work,TRUE,melissa_takemarket_work,TRUE
melissa@othercampaign.work,TRUE,melissa_othercampaign_work,TRUE
alice@othercampaign.work,TRUE,alice_othercampaign_work,TRUE
matt@outcampaign.work,TRUE,matt_outcampaign_work,TRUE
jack@outcampaign.work,TRUE,jack_outcampaign_work,TRUE
melissa@outcampaign.work,TRUE,melissa_outcampaign_work,TRUE
alice@outcampaign.work,TRUE,alice_outcampaign_work,TRUE
matt@sheaction.work,TRUE,matt_sheaction_work,TRUE
jack@sheaction.work,TRUE,jack_sheaction_work,TRUE
alice@newgrowth.work,TRUE,alice_newgrowth_work,TRUE
matt@orboost.work,TRUE,matt_orboost_work,TRUE
jack@orboost.work,TRUE,jack_orboost_work,TRUE
melissa@orboost.work,TRUE,melissa_orboost_work,TRUE
jack@knowbuzz.work,TRUE,jack_knowbuzz_work,TRUE
alice@knowbuzz.work,TRUE,alice_knowbuzz_work,TRUE
melissa@juststrategy.work,TRUE,melissa_juststrategy_work,TRUE
matt@knowbuzz.work,TRUE,matt_knowbuzz_work,TRUE
matt@havebuzz.work,TRUE,matt_havebuzz_work,TRUE
jack@havebuzz.work,TRUE,jack_havebuzz_work,TRUE
melissa@havebuzz.work,TRUE,melissa_havebuzz_work,TRUE
alice@havebuzz.work,TRUE,alice_havebuzz_work,TRUE
matt@ifsales.work,TRUE,matt_ifsales_work,TRUE
jack@incampaign.work,TRUE,jack_incampaign_work,TRUE
melissa@incampaign.work,TRUE,melissa_incampaign_work,TRUE
alice@incampaign.work,TRUE,alice_incampaign_work,TRUE
matt@juststrategy.work,TRUE,matt_juststrategy_work,TRUE
matt@byreach.work,TRUE,matt_byreach_work,TRUE
jack@getbuzz.work,TRUE,jack_getbuzz_work,TRUE
matt@giveengage.work,TRUE,matt_giveengage_work,TRUE
jack@giveengage.work,TRUE,jack_giveengage_work,TRUE
matt@goboost.work,TRUE,matt_goboost_work,TRUE
jack@goboost.work,TRUE,jack_goboost_work,TRUE
melissa@goboost.work,TRUE,melissa_goboost_work,TRUE
alice@goboost.work,TRUE,alice_goboost_work,TRUE
jack@backsales.work,TRUE,jack_backsales_work,TRUE
melissa@backsales.work,TRUE,melissa_backsales_work,TRUE
matt@becausestrategy.work,TRUE,matt_becausestrategy_work,TRUE
jack@becausestrategy.work,TRUE,jack_becausestrategy_work,TRUE
stella@maildoso.com,TRUE,ov3nk1n4jdlh3no1,TRUE
nadia.s@wouldaction.work,TRUE,nadia_s_wouldaction_work,TRUE
serena.sullivan@backlinkswappers.com,TRUE,serena_sullivan_backlinkswappers_com,TRUE
shane.shaw@backlinkswappers.com,TRUE,shane_shaw_backlinkswappers_com,TRUE
sheila.simpson@backlinkswappers.com,TRUE,sheila_simpson_backlinkswappers_com,TRUE
sienna.serrano@sparkgent.com,TRUE,sienna_serrano_sparkgent_com,TRUE
skyler.sanford@sparkgent.com,TRUE,skyler_sanford_sparkgent_com,TRUE
melissa@newgrowth.work,TRUE,melissa_newgrowth_work,TRUE
matt@othercampaign.work,TRUE,matt_othercampaign_work,TRUE
jack@othercampaign.work,TRUE,jack_othercampaign_work,TRUE
nadia@betarget.work,TRUE,nadia_betarget_work,TRUE
