email,is_google,ee_account_id,is_active
richard@backsales.work,TRUE,richard_backsales_work,FALSE
richard@knowbuzz.work,TRUE,richard_knowbuzz_work,FALSE
richard@juststrategy.work,TRUE,richard_juststrategy_work,FALSE
richard@incampaign.work,TRUE,richard_incampaign_work,FALSE
richard@ifsales.work,TRUE,richard_ifsales_work,FALSE
richard@havebuzz.work,TRUE,richard_havebuzz_work,FALSE
richard@goboost.work,TRUE,richard_goboost_work,FALSE
richard@giveengage.work,TRUE,richard_giveengage_work,FALSE
richard@getbuzz.work,TRUE,richard_getbuzz_work,FALSE
richard@byreach.work,TRUE,richard_byreach_work,FALSE
richard@becausestrategy.work,TRUE,richard_becausestrategy_work,FALSE
richard@whogrowth.work,TRUE,richard_whogrowth_work,FALSE
richard@whenstrategy.work,TRUE,richard_whenstrategy_work,FALSE
richard@wellsuccess.work,TRUE,richard_wellsuccess_work,FALSE
richard@usbrand.work,TRUE,richard_usbrand_work,FALSE
richard@upsuccess.work,TRUE,richard_upsuccess_work,FALSE
richard@thatdigital.work,TRUE,richard_thatdigital_work,FALSE
richard@thanlead.work,TRUE,richard_thanlead_work,FALSE
richard@takemarket.work,TRUE,richard_takemarket_work,FALSE
richard@sheaction.work,TRUE,richard_sheaction_work,FALSE
richard@outcampaign.work,TRUE,richard_outcampaign_work,FALSE
richard@othercampaign.work,TRUE,richard_othercampaign_work,FALSE
richard@orboost.work,TRUE,richard_orboost_work,FALSE
richard@newgrowth.work,TRUE,richard_newgrowth_work,FALSE
richard@workreach.work,TRUE,richard_workreach_work,FALSE
rosa_black@easypathshift.work,TRUE,rosa_un_black_easypathshift_work,FALSE
rosa_black@easynodemesh.work,TRUE,rosa_un_black_easynodemesh_work,FALSE
rosa_black@easymesh.work,TRUE,rosa_un_black_easymesh_work,FALSE
rosa_black@easyflowfield.work,TRUE,rosa_un_black_easyflowfield_work,FALSE
rosa_black@clearnode.work,TRUE,rosa_un_black_clearnode_work,FALSE
rosa_black@clearhyperfield.work,TRUE,rosa_un_black_clearhyperfield_work,FALSE
rosa_black@cleargrid.work,TRUE,rosa_un_black_cleargrid_work,FALSE
rosa_black@cleareasylink.work,TRUE,rosa_un_black_cleareasylink_work,FALSE
rosa_black@clearbrightlink.work,TRUE,rosa_un_black_clearbrightlink_work,FALSE
rosa_black@brightultravault.work,TRUE,rosa_un_black_brightultravault_work,FALSE
rosa_black@brightstack.work,TRUE,rosa_un_black_brightstack_work,FALSE
rosa_black@brightshift.work,TRUE,rosa_un_black_brightshift_work,FALSE
rosa_black@brightnovalink.work,TRUE,rosa_un_black_brightnovalink_work,FALSE
rosa_black@brightnode.work,TRUE,rosa_un_black_brightnode_work,FALSE
rosa_black@brightlink.work,TRUE,rosa_un_black_brightlink_work,FALSE
rosa_black@brighthub.work,TRUE,rosa_un_black_brighthub_work,FALSE
rosa_black@brighthubnode.work,TRUE,rosa_un_black_brighthubnode_work,FALSE
rosa_black@brightgridmesh.work,TRUE,rosa_un_black_brightgridmesh_work,FALSE
rosa_black@brightflow.work,TRUE,rosa_un_black_brightflow_work,FALSE
rosa_black@brighteasyfield.work,TRUE,rosa_un_black_brighteasyfield_work,FALSE
rosa_black@brightdeck.work,TRUE,rosa_un_black_brightdeck_work,FALSE
rosa_black@brightboldshift.work,TRUE,rosa_un_black_brightboldshift_work,FALSE
rosa_black@boldzonegrid.work,TRUE,rosa_un_black_boldzonegrid_work,FALSE
rosa_black@boldstacknode.work,TRUE,rosa_un_black_boldstacknode_work,FALSE
